0,2
2,35
4,4
14,16
19,1770
22,1
24,1
26,1977
30,1
31,1
32,21
33,2
36,213
40,1
46,3
48,251
50,1
51,2
54,1
57,3
62,3
64,190
67,80
70,2
72,1
74,6
76,63
77,3
79,17
83,13
85,4
86,1
87,4
88,25
89,4
92,6
93,1
94,1
97,7
100,14
102,3
103,46
104,2
105,3
110,7
118,4
120,21
121,83
125,15
126,5
127,1105
128,1
132,19
134,1
137,55
148,20
149,3
150,1
154,350
156,25462
157,33
159,2
162,2
163,3
170,90
171,12
173,1
177,303
181,1
184,6
187,141
188,1
190,37
191,2
195,7
196,68
197,5
198,1
199,19
201,7
202,68
203,32
204,7
206,1
209,3
218,2
219,1
220,4
222,2
223,37
227,1
228,3
233,1
234,21
238,2
242,3
243,1
248,24
253,4
257,10
258,4
266,1
267,9
269,51
270,42
273,11
277,1
281,2
283,18
285,79
286,2
287,1
289,2
293,10
296,4
299,10
301,2
302,15
305,2
307,109
308,2
311,1
312,1
313,72
314,152
319,58
323,120
329,55
336,25
338,23
339,4
340,17
341,32
343,1
345,1
346,71
347,1
350,2
354,99
356,5
357,1
361,2
363,2
364,4
366,18
367,224
370,2
372,793
374,43
375,523
377,1
379,1
384,160
385,2
388,3518
389,188
394,12
396,17
397,33
399,6
400,2
401,4
402,4
404,2
408,308
411,3
415,2
417,3
418,9
419,1
421,2
422,5
423,1395
426,32
427,2
428,1
431,20
435,105
444,254
445,3
449,2708
453,2
456,2
458,2
460,3
461,56
463,13
469,31
470,149
475,9
478,2
480,4
481,1
488,12
490,29
491,2
495,2
497,6
500,16
501,12
502,5
503,33
514,20
516,1
517,3
518,1
521,7
526,1
530,2
534,219
535,1
539,36
543,42
545,137
547,90
548,3
553,570
561,47
570,5
573,1
575,1
576,6
581,1
585,1
586,48
587,190
590,9
593,2
594,1
600,4
602,7
603,5
605,1
606,219
607,7
611,14
612,26
614,5
615,491
618,7
619,3
624,21
625,2
628,3
630,16
634,6
638,2
639,13
640,32
641,1033
644,8
647,1
648,1
652,1
653,5
659,4
664,15
667,1
668,3
669,11
674,5
676,29
677,2
678,5
681,64
682,193
687,20
693,28
694,249
699,4
700,1
703,48
706,2
708,94
711,5
713,4
714,2
716,82
721,4
723,6
725,2
726,1
728,8
731,6
732,2
733,106
734,30
741,4
743,10
745,6
747,12
748,2
750,3
752,37
754,14
760,18
765,17
766,23
772,7
774,3
777,125
779,2
782,5
784,2
785,24
789,1
792,34
796,9
798,4
799,1
805,15
812,13
813,1
816,2
818,1
821,57
822,1
825,91
826,90
830,338
832,443
835,1
838,5
842,3
847,10
849,590
852,71
854,4
858,6
859,1
862,2
867,169
